year,topic_number,topic_label,mean_proportion,documents
2006,1,War & American History,0.3535376899738879,66
2006,2,OSI Activities,0.16978113207701812,66
2006,3,Psychology & Lifestyle,0.15387378030047577,66
2006,4,Science,0.08211873383001587,66
2006,5,Moral Philosophy,0.24068866381860232,66
2007,1,War & American History,0.2765140959012764,46
2007,2,OSI Activities,0.2395768004779299,46
2007,3,Psychology & Lifestyle,0.24222374014541825,46
2007,4,Science,0.0825215780439289,46
2007,5,Moral Philosophy,0.15916378543144655,46
2008,1,War & American History,0.20594895405942132,31
2008,2,OSI Activities,0.23946120891024616,31
2008,3,Psychology & Lifestyle,0.12321556805530251,31
2008,4,Science,0.21177283804930538,31
2008,5,Moral Philosophy,0.2196014309257246,31
2009,1,War & American History,0.25881196954673313,34
2009,2,OSI Activities,0.36359824748568864,34
2009,3,Psychology & Lifestyle,0.10841122538081015,34
2009,4,Science,0.055312252824387245,34
2009,5,Moral Philosophy,0.2138663047623808,34
2010,1,War & American History,0.21491793989942112,39
2010,2,OSI Activities,0.45140844505035616,39
2010,3,Psychology & Lifestyle,0.11429013909636913,39
2010,4,Science,0.05911411761796747,39
2010,5,Moral Philosophy,0.16026935833588613,39
2011,1,War & American History,0.21178973231076037,40
2011,2,OSI Activities,0.4592034812451799,40
2011,3,Psychology & Lifestyle,0.1026652276602834,40
2011,4,Science,0.037527573958465114,40
2011,5,Moral Philosophy,0.18881398482531123,40
2012,1,War & American History,0.16416742117563998,64
2012,2,OSI Activities,0.455734618369225,64
2012,3,Psychology & Lifestyle,0.08643305096474381,64
2012,4,Science,0.04538950560718804,64
2012,5,Moral Philosophy,0.2482754038832032,64
2013,1,War & American History,0.18428640930079795,60
2013,2,OSI Activities,0.483584640166714,60
2013,3,Psychology & Lifestyle,0.0958598107210882,60
2013,4,Science,0.024802282474804715,60
2013,5,Moral Philosophy,0.21146685733659512,60
2014,1,War & American History,0.35723217133299107,128
2014,2,OSI Activities,0.22788268821432575,128
2014,3,Psychology & Lifestyle,0.09611596943584205,128
2014,4,Science,0.030580611298318905,128
2014,5,Moral Philosophy,0.2881885597185222,128
2015,1,War & American History,0.3127992773928936,71
2015,2,OSI Activities,0.32745198655964547,71
2015,3,Psychology & Lifestyle,0.12706603826112364,71
2015,4,Science,0.04443961746935555,71
2015,5,Moral Philosophy,0.18824308031698175,71
2016,1,War & American History,0.1950686851210038,67
2016,2,OSI Activities,0.3879843662829354,67
2016,3,Psychology & Lifestyle,0.14554189481026775,67
2016,4,Science,0.07020573172783127,67
2016,5,Moral Philosophy,0.20119932205796176,67
2017,1,War & American History,0.2328166641421268,69
2017,2,OSI Activities,0.2969105126005289,69
2017,3,Psychology & Lifestyle,0.15008650582788022,69
2017,4,Science,0.045087903014073775,69
2017,5,Moral Philosophy,0.2750984144153903,69
2018,1,War & American History,0.36750771394331627,100
2018,2,OSI Activities,0.23468374280080861,100
2018,3,Psychology & Lifestyle,0.18319085312521532,100
2018,4,Science,0.05070473999778087,100
2018,5,Moral Philosophy,0.1639129501328789,100
2019,1,War & American History,0.2836776333510561,109
2019,2,OSI Activities,0.32218569831622007,109
2019,3,Psychology & Lifestyle,0.21310648748728409,109
2019,4,Science,0.11947081797977842,109
2019,5,Moral Philosophy,0.06155936286566126,109
2020,1,War & American History,0.24051701094385544,133
2020,2,OSI Activities,0.32821905526769796,133
2020,3,Psychology & Lifestyle,0.29149719935850615,133
2020,4,Science,0.0615905006933167,133
2020,5,Moral Philosophy,0.0781762337366237,133
2021,1,War & American History,0.21648699946016922,156
2021,2,OSI Activities,0.3736670583196415,156
2021,3,Psychology & Lifestyle,0.3106826710466488,156
2021,4,Science,0.05017303382530913,156
2021,5,Moral Philosophy,0.04899023734823137,156
2022,1,War & American History,0.21435164876982066,93
2022,2,OSI Activities,0.42781041731252184,93
2022,3,Psychology & Lifestyle,0.24503284738937295,93
2022,4,Science,0.05751368811973943,93
2022,5,Moral Philosophy,0.05529139840854515,93
2023,1,War & American History,0.17564287662499142,70
2023,2,OSI Activities,0.4438474669494352,70
2023,3,Psychology & Lifestyle,0.2272108318100469,70
2023,4,Science,0.08906877029229848,70
2023,5,Moral Philosophy,0.06423005432322794,70
2024,1,War & American History,0.12009062874068163,170
2024,2,OSI Activities,0.3420718357901799,170
2024,3,Psychology & Lifestyle,0.3969373963636182,170
2024,4,Science,0.05312351876159378,170
2024,5,Moral Philosophy,0.08777662034392651,170
2025,1,War & American History,0.1412588664224295,154
2025,2,OSI Activities,0.4445978921106715,154
2025,3,Psychology & Lifestyle,0.25915064027979046,154
2025,4,Science,0.05245339297688539,154
2025,5,Moral Philosophy,0.10253920821022311,154
2026,1,War & American History,0.17665207972888866,73
2026,2,OSI Activities,0.4928864088633299,73
2026,3,Psychology & Lifestyle,0.17646010036726634,73
2026,4,Science,0.08521979981508494,73
2026,5,Moral Philosophy,0.06878161122543013,73
